,data_indexes,lables,Latitude,Longitude,Parent Incident Type
744,786,1,42.919,-78.888,Assault
760,802,1,42.941,-78.905,Theft
761,803,1,42.948,-78.878,Theft
768,812,1,42.942,-78.881,Theft
773,818,1,42.951,-78.867,Theft
785,833,1,42.943,-78.867,Theft
786,834,1,42.94,-78.902,Theft
790,838,1,42.932,-78.892,Theft
793,841,1,42.953,-78.86,Theft of Vehicle
797,845,1,42.932,-78.877,Theft of Vehicle
801,850,1,42.926,-78.879,Theft
811,862,1,42.954,-78.878,Theft
823,874,1,42.959,-78.895,Theft
825,876,1,42.94,-78.879,Assault
827,878,1,42.957,-78.902,Theft of Vehicle
828,879,1,42.958,-78.901,Assault
854,907,1,42.948,-78.865,Breaking & Entering
856,909,1,42.954,-78.879,Theft
860,915,1,42.94,-78.9,Assault
861,916,1,42.918,-78.891,Theft
862,917,1,42.954,-78.879,Theft
863,918,1,42.948,-78.863,Theft
885,941,1,42.947,-78.891,Theft of Vehicle
886,942,1,42.956,-78.866,Theft
889,945,1,42.937,-78.893,Theft
891,947,1,42.949,-78.873,Theft
895,952,1,42.955,-78.862,Theft
900,957,1,42.954,-78.878,Assault
909,966,1,42.951,-78.878,Theft
915,972,1,42.949,-78.853,Theft
918,975,1,42.946,-78.866,Assault
929,987,1,42.948,-78.878,Theft
933,991,1,42.918,-78.894,Robbery
936,994,1,42.954,-78.879,Theft
937,995,1,42.923,-78.898,Theft
940,998,1,42.947,-78.877,Theft
941,999,1,42.959,-78.895,Robbery
943,1001,1,42.955,-78.878,Theft
944,1003,1,42.921,-78.895,Theft
948,1008,1,42.959,-78.901,Theft
950,1010,1,42.947,-78.868,Theft
951,1011,1,42.954,-78.879,Robbery
954,1014,1,42.954,-78.858,Sexual Offense
957,1017,1,42.94,-78.907,Theft of Vehicle
971,1031,1,42.919,-78.893,Assault
974,1035,1,42.947,-78.878,Theft
975,1036,1,42.948,-78.884,Theft of Vehicle
976,1037,1,42.948,-78.859,Theft
977,1038,1,42.924,-78.887,Assault
994,1056,1,42.947,-78.905,Theft
996,1058,1,42.948,-78.903,Theft
999,1061,1,42.96,-78.905,Theft of Vehicle
1001,1064,1,42.923,-78.892,Assault
1002,1065,1,42.924,-78.885,Assault
1006,1069,1,42.954,-78.878,Theft
1012,1075,1,42.944,-78.907,Breaking & Entering
